game_key,person_key,slot,hit,lineup_position,age,yoe,weight,height,bmi,bats,throws,b_prev_ba_scaled,b_career_ba_scaled,p_age,p_weight,p_height,p_bmi,p_throws
WAS201905250,dozib001,6,0,mid,32,7,200,71,0.355,R,R,21.518987342,24.56,23,200,77,0.385,R
NYN201908052,rosaa003,2,1,top,23,2,190,74,0.3894736842,R,R,25.631768953,25.45,23,200,77,0.385,R
LAN201907200,verda001,2,0,top,23,2,192,72,0.375,L,L,25.974025974,24.00,23,200,77,0.385,R
MIA201907260,dysoj001,1,0,top,34,9,165,69,0.4181818182,L,R,18.932038835,25.09,23,200,77,0.385,R
NYN201908052,altha001,8,0,bottom,28,5,215,77,0.3581395349,R,R,18.106995885,22.72,23,200,77,0.385,R
MIA201904170,rizza001,3,0,top,29,8,240,75,0.3125,L,L,28.268551237,27.01,23,200,77,0.385,R
ATL201904060,incie001,1,0,top,28,5,190,71,0.3736842105,L,L,26.465661642,28.87,23,200,77,0.385,R
PHI201906210,brucj001,3,0,top,32,11,230,75,0.3260869565,L,L,22.257053292,24.71,23,200,77,0.385,R
LAN201907200,barna001,8,1,bottom,29,4,187,70,0.3743315508,R,R,20.5,24.01,23,200,77,0.385,R
MIA201904120,hernc005,7,1,bottom,28,6,195,70,0.358974359,B,R,25.289256198,27.62,23,200,77,0.385,R
LAN201907200,turnj001,3,1,top,34,10,202,71,0.3514851485,R,R,31.232876712,29.18,23,200,77,0.385,R
MIA201906270,eatoa002,2,1,top,30,7,176,69,0.3920454545,L,L,30.094043887,28.66,23,200,77,0.385,R
ATL201908220,donaj001,4,0,mid,33,9,210,73,0.3476190476,R,R,24.598930481,27.52,23,200,77,0.385,R
MIA201907140,mcnej002,1,1,top,27,1,195,73,0.3743589744,L,R,32.888888889,32.89,23,200,77,0.385,R
NYN201909240,nidot001,8,0,bottom,25,2,211,72,0.3412322275,R,R,16.666666667,18.09,24,200,77,0.385,R
NYN201908052,alonp001,4,1,mid,24,0,245,75,0.306122449,R,R,0,,23,200,77,0.385,R
ATL201904060,freef001,3,1,top,29,9,220,77,0.35,L,R,30.906148867,29.27,23,200,77,0.385,R
MIA201908280,suare001,3,1,top,28,5,213,71,0.3333333333,R,R,28.273244782,26.36,23,200,77,0.385,R
MIA201907310,sanom001,5,0,mid,26,4,272,76,0.2794117647,R,R,19.92481203,24.40,23,200,77,0.385,R
WAS201907030,turnt001,1,1,top,26,4,185,74,0.4,R,R,27.108433735,28.88,23,200,77,0.385,R
PHI201909290,rodrs002,8,0,bottom,34,11,199,72,0.3618090452,R,R,16.666666667,22.60,24,200,77,0.385,R
PHI201906210,kings001,6,1,mid,25,1,180,70,0.3888888889,R,R,22.566371681,22.57,23,200,77,0.385,R
WAS201905250,turnt001,1,0,top,25,4,185,74,0.4,R,R,27.108433735,28.88,23,200,77,0.385,R
TEX201908020,andre001,3,1,top,30,10,210,72,0.3428571429,R,R,25.569620253,27.51,25,200,74,0.37,L
DET201909210,garcl004,1,1,top,28,6,185,68,0.3675675676,B,R,27.131782946,24.13,25,200,74,0.37,L
TEX201908020,odorr001,6,1,mid,25,5,200,71,0.355,L,R,25.316455696,24.78,25,200,74,0.37,L
CHA201909282,engea001,9,1,bottom,27,2,220,74,0.3363636364,R,R,23.543123543,20.68,25,200,74,0.37,L
SEA201907270,nolaa002,6,1,mid,29,0,197,72,0.3654822335,R,R,0,,25,200,74,0.37,L
DET201908070,abrej003,3,1,top,32,5,250,75,0.3,R,R,26.452905812,29.45,25,200,74,0.37,L
DET201907210,smoaj001,6,0,mid,32,9,220,76,0.3454545455,B,L,24.158415842,23.31,25,200,74,0.37,L
DET201909160,martr006,9,1,bottom,24,0,190,71,0.3736842105,R,R,0,,25,200,74,0.37,L
DET201908070,garcl004,1,1,top,28,6,185,68,0.3675675676,B,R,27.131782946,24.13,25,200,74,0.37,L
CHA201907032,collz001,9,0,bottom,24,0,230,75,0.3260869565,L,R,0,,24,200,74,0.37,L
CHA201907032,cordr001,8,1,bottom,27,1,200,76,0.38,R,R,10.810810811,10.81,24,200,74,0.37,L
DET201909160,nuner001,4,0,mid,25,3,220,73,0.3318181818,R,R,25.847457627,24.81,25,200,74,0.37,L
SEA201907270,voged001,5,1,mid,26,3,270,72,0.2666666667,L,R,20.689655172,19.69,25,200,74,0.37,L
DET201907210,galvf001,2,1,top,29,7,195,70,0.358974359,B,R,24.750830565,24.56,25,200,74,0.37,L
CHA201909282,garcl004,1,1,top,28,6,185,68,0.3675675676,B,R,27.131782946,24.13,25,200,74,0.37,L
DET201908070,cordr001,9,1,bottom,27,1,200,76,0.38,R,R,10.810810811,10.81,25,200,74,0.37,L
CHA201907032,abrej003,3,1,top,32,5,250,75,0.3,R,R,26.452905812,29.45,24,200,74,0.37,L
CHA201907032,mccaj001,4,0,mid,29,5,220,75,0.3409090909,R,R,22.014051522,23.96,24,200,74,0.37,L
CHA201907032,moncy001,2,1,top,24,3,225,74,0.3288888889,B,R,23.529411765,23.37,24,200,74,0.37,L
CHA201909282,collz001,8,1,bottom,24,0,230,75,0.3260869565,L,R,0,,25,200,74,0.37,L
DET201909210,mccaj001,6,1,mid,29,5,220,75,0.3409090909,R,R,22.014051522,23.96,25,200,74,0.37,L
DET201909210,engea001,9,1,bottom,27,2,220,74,0.3363636364,R,R,23.543123543,20.68,25,200,74,0.37,L
DET201909210,andet001,2,1,top,26,3,185,73,0.3945945946,R,R,23.985890653,25.77,25,200,74,0.37,L
SEA201907270,moord002,9,1,bottom,26,0,185,72,0.3891891892,R,R,0,,25,200,74,0.37,L
DET201909210,moncy001,5,1,mid,24,3,225,74,0.3288888889,B,R,23.529411765,23.37,25,200,74,0.37,L
DET201908070,goinr001,7,0,bottom,31,6,180,70,0.3888888889,L,R,22.608695652,22.77,25,200,74,0.37,L
DET201907210,maill001,9,0,bottom,28,4,225,75,0.3333333333,R,R,24.752475248,20.99,25,200,74,0.37,L
CHA201909282,jimee001,4,1,mid,22,0,235,76,0.3234042553,R,R,0,,25,200,74,0.37,L
SEA201907270,courr001,8,1,bottom,31,0,210,74,0.3523809524,R,R,0,,25,200,74,0.37,L
DET201908070,castw002,6,1,mid,32,9,215,70,0.3255813953,R,R,25.882352941,25.90,25,200,74,0.37,L
DET201907210,gurrl001,3,1,top,25,1,215,76,0.3534883721,R,R,28.112449799,28.11,25,200,74,0.37,L
DET201908070,andet001,2,1,top,26,3,185,73,0.3945945946,R,R,23.985890653,25.77,25,200,74,0.37,L
DET201909210,jimee001,4,1,mid,22,0,235,76,0.3234042553,R,R,0,,25,200,74,0.37,L
CHA201909282,mendd002,7,1,bottom,26,0,195,70,0.358974359,R,R,0,,25,200,74,0.37,L
DET201909160,albeh001,1,1,top,26,4,215,71,0.3302325581,R,R,18.518518519,19.23,25,200,74,0.37,L
DET201907210,drurb001,8,0,bottom,26,4,230,74,0.3217391304,R,R,16.883116883,26.37,25,200,74,0.37,L
CHA201909282,abrej003,3,1,top,32,5,250,75,0.3,R,R,26.452905812,29.45,25,200,74,0.37,L
DET201909160,haysa001,6,1,mid,24,2,205,72,0.3512195122,R,R,0,21.67,25,200,74,0.37,L
DET201909160,wilks001,8,1,bottom,27,1,195,73,0.3743589744,B,R,17.391304348,17.39,25,200,74,0.37,L
SEA201907270,seagk001,7,1,bottom,31,8,216,72,0.3333333333,L,R,22.126929674,25.77,25,200,74,0.37,L
DET201908070,sancc001,8,0,bottom,27,5,205,68,0.3317073171,B,R,24.166666667,24.20,25,200,74,0.37,L
DET201907210,guerv002,5,0,mid,20,0,250,74,0.296,R,R,0,,25,200,74,0.37,L
CHA201907032,jimee001,5,0,mid,22,0,235,76,0.3234042553,R,R,0,,24,200,74,0.37,L
DET201909160,santa003,3,1,top,24,2,225,74,0.3288888889,B,R,19.801980198,21.37,25,200,74,0.37,L
TEX201908020,mathj001,9,1,bottom,36,14,205,72,0.3512195122,R,R,20,19.84,25,200,74,0.37,L
SEA201907270,narvo001,3,1,top,27,3,220,71,0.3227272727,L,R,27.5,27.44,25,200,74,0.37,L
DET201909160,sevep001,7,0,bottom,26,4,220,73,0.3318181818,R,R,16.842105263,18.73,25,200,74,0.37,L
